heading,papers
keywords,23
pdf download,20
pdf,20
itation in bibtex format,20
s concepts,19
development,13
background and related work,12
december 2025,10
february 2026,10
given [context],8
then,8
testing,8
total,8
table 1,8
years,8
when,7
table 2,7
bdd,7
scenario,7
year,7
and,7
i n f o,6
table 3,6
table 4,6
behavior-driven development,6
requirements,6
for,6
s,6
software,6
the,6
given,6
title (one line describing the story),5
want [feature],5
agile,5
jbehave,5
data analysis,5
table 5,5
table 6,5
table 7,5
external validity,5
test,5
then [outcome],5
discussion and conclusion,5
process,5
end,5
min,5
program committee,5
example,5
behavior driven development,5
research methodology,5
d,5
as a [role],4
so that [benefit],4
scenario 1: title,4
event,4
behaviour driven development,4
n,4
nformation and software technology,4
table 8,4
software testing,4
driven,4
#,4
goal,4
imitations and future work,4
ecture notes,4
in business information processing,4
series editors,4
preface,4
organization,4
ontents,4
amigos,4
ontext,4
hypotheses,4
hypothesis testing,4
related works,4
discussion and conclusions,4
author index,4
trabalhos relacionados,4
agradecimentos,4
a,4
automation,4
user,4
behavior,3
as a frequent traveler,3
scenario: one-way tickets search,3
"when i choose ""one way""",3
"and i click on ""search""",3
user stories,3
action,3
total citations: 7,3
ases,3
technique,3
sequence,3
ucumber,3
role,3
features,3
acceptance,3
redit authorship contribution statement,3
declaration of competing interest,3
agile processes,3
in software engineering,3
and extreme programming,3
additional reviewers,3
ontributions,3
ariables,3
pilot study,3
descriptive analysis,3
nternal validity,3
onstruct validity,3
onclusion validity,3
data collection and analysis,3
"(2), 77-101 (2006)",3
environment,3
ase organisation and study design,3
(2010),3
responsibility,3
management,3
ase,3
ase description,3
study setup,3
alidity threats,3
-,3
introdução,3
referências,3
execute,3
melanie diepenbeck1,3
else,3
tool,3
scenarios,3
"porto alegre, rs, brazil",3
question,3
type,3
university of stugart,3
an,3
motivating example,3
behavior-driven,3
problem statement,3
project,3
months,3
procedure,3
total citations: 5,3
description,3
t,3
scenario: [title],3
when [some event occurs],3
discussion and future work,3
future work,3
discussions,3
total citations: 3,3
acceptance criteria: (presented as scenarios),2
user story: flight tickets search,2
"given i go to ""find flights""",2
"then will be displayed ""choose flights""",2
with,2
total citations: 4,2
published: 23 september 2019,2
proof of concept,2
ondition,2
state b,2
state a,2
total downloads: 292,2
hendrik bünder,2
itemis ag,2
herbert kuchen,2
"ercis, university of münster",2
specifying the calendar web application,2
definition,2
slang feature definition,2
slang mapping definition,2
generating automatically executable test,2
slang wireframesketcher integration,2
slang technical foundations,2
slang feature dsl,2
slang feature and mapping generator,2
slang mapping dsl,2
mean,2
slang,2
source,2
f,2
df,2
period,2
construct validity,2
internal validity,2
",",2
phases,2
a. ubiquitous language,2
want a [feature],2
when [event],2
specflow,2
|,2
orrespondence,2
k e y w o r d s,2
theme,2
requirements analysis,2
participant,2
participants,2
phase,2
nput,2
output,2
deployment,2
orcid,2
from,2
class,2
in,2
experimental set-up,2
requirements validation,2
requirement,2
table 9,2
table 10,2
table 11,2
juan garbajosa · xiaofeng wang,2
ademar aguiar (eds.),2
nbip 314,2
"th international conference, xp 2018",2
"porto, portugal, may 21-25, 2018",2
juan garbajosa,2
• xiaofeng wang,2
research papers co-chairs,2
research workshops co-chairs,2
research posters co-chairs,2
doctoral symposium co-chairs,2
ndustry and practice co-chairs,2
experience reports co-chairs,2
agile in education and training co-chairs,2
tools and demos co-chairs,2
tutorials and workshops co-chairs,2
openspace chair,2
panels chair,2
media design chair,2
ommunication design,2
press and media sponsors,2
sponsors liaison,2
