facet,train_size,macro_f1,std
research_type,19,0.1831,0.0745
research_type,35,0.1989,0.0662
research_type,50,0.1529,0.0833
research_type,66,0.214,0.0649
research_type,82,0.319,0.0609
research_type,98,0.2686,0.0529
contribution_type,19,0.1383,0.0688
contribution_type,35,0.2175,0.0697
contribution_type,50,0.2463,0.0863
contribution_type,66,0.2974,0.0416
contribution_type,82,0.3482,0.1044
contribution_type,98,0.404,0.0807
evaluation_method,19,0.136,0.0567
evaluation_method,35,0.2284,0.0286
evaluation_method,50,0.2231,0.0753
evaluation_method,66,0.1995,0.0414
evaluation_method,82,0.284,0.0754
evaluation_method,98,0.2699,0.0878
