n_components,n_neighbors,k,silhouette,coherence_cv,smallest_cluster
2,5,3,0.4143,0.4518,34
2,5,4,0.4154,0.4453,24
2,5,5,0.4365,0.434,17
2,5,6,0.4616,0.4398,16
2,5,7,0.4855,0.512,3
2,5,8,0.4824,0.5186,3
2,5,15,0.5006,0.4354,3
2,11,3,0.4235,0.4373,30
2,11,4,0.4387,0.4134,24
2,11,5,0.4313,0.4975,12
2,11,6,0.4018,0.5228,12
2,11,7,0.4161,0.4877,12
2,11,8,0.3938,0.4513,12
2,11,15,0.4007,0.413,5
2,20,3,0.3825,0.3973,35
2,20,4,0.3819,0.4618,25
2,20,5,0.3679,0.463,18
2,20,6,0.3547,0.4861,18
2,20,7,0.3547,0.4517,13
2,20,8,0.3563,0.4361,12
2,20,15,0.4146,0.4359,5
5,5,3,0.3762,0.4475,30
5,5,4,0.3674,0.3985,22
5,5,5,0.3739,0.3831,10
5,5,6,0.3943,0.4613,12
5,5,7,0.4314,0.4261,8
5,5,8,0.4661,0.3963,8
5,5,15,0.4985,0.3921,3
5,11,3,0.3325,0.436,29
5,11,4,0.3478,0.4137,19
5,11,5,0.3453,0.4471,20
5,11,6,0.3371,0.4511,12
5,11,7,0.3326,0.5254,13
5,11,8,0.3342,0.4258,9
5,11,15,0.3377,0.4094,5
5,20,3,0.3068,0.5246,31
5,20,4,0.308,0.508,18
5,20,5,0.2924,0.4972,16
5,20,6,0.2863,0.4475,17
5,20,7,0.2958,0.4886,15
5,20,8,0.3108,0.4633,11
5,20,15,0.3114,0.4156,4
